counter_party,timestamp,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x000a73873e962e27f93ab10ae089386536a8498b,2024-01-12 10:05:11,0,1,0.0,1.238
0x007f88d5763b93698950317b5db685d60834103a,2024-01-12 13:25:11,0,1,0.0,0.009
0x009669edc02bb366c0550a2f683c1e10b053d295,2024-01-12 03:43:59,0,1,0.0,0.00984962
0x0097ae87e15a00f17bc9e5b96cb7b9e8c50e8d7f,2024-01-12 21:24:35,0,1,0.0,35.98068301
0x00cced40ed7b2a1ae695167b9bf810359d1693f9,2024-01-12 20:36:59,0,1,0.0,1.44700753
0x00f437234fea694ae1bef256a086ed2e318e2356,2024-01-12 07:47:11,0,1,0.0,0.00799
0x01e8b90db371ef146bd723ecc196906a792e31f2,2024-01-12 16:40:11,0,1,0.0,0.0295
0x01f64a229f9f86b2a5ca561b8e519ddd7769779d,2024-01-12 15:25:23,0,1,0.0,1.1331051
0x0209c9df1f0f9563be11a56d1e6c4a7ee9d5851b,2024-01-12 11:52:11,0,1,0.0,0.06467095
0x021b9f075c13dcc1035c89a254c613b8afce1d01,2024-01-12 10:58:47,0,1,0.0,1.009
0x024142745958479152705252649d9c4827deaacf,2024-01-12 18:33:47,0,1,0.0,0.098
0x0250144b56900df523a05cc6692a12a9227dad3e,2024-01-12 09:56:47,0,1,0.0,0.0428551
0x02742fbb150c1db8bd447745ecc1313bf69a3110,2024-01-12 14:21:23,0,1,0.0,0.128
0x02be804f3f2ce77bc981c544373d11a0668b6a31,2024-01-12 13:52:11,0,1,0.0,0.01437195
0x03002e60efb8dd466db476a797b5b6276d6bb987,2024-01-12 14:49:23,0,1,0.0,0.0082897
0x032425096b4ba64682800c3d93c411e5350083aa,2024-01-12 21:45:11,0,1,0.0,2.998
0x036de81fd14b3d6c62469ebce09be61547cea82f,2024-01-12 17:38:11,0,1,0.0,1.2279
0x038809b0f467363a9a0bfce5d166c537efa67d69,2024-01-12 05:25:23,0,1,0.0,0.01872442
0x0392c2bd4476cd7df0f924663ce1ebce22667ade,2024-01-12 03:40:59,0,1,0.0,0.0078901
0x03b09be890ec307e879d27350cee34c66a233d05,2024-01-12 03:08:59,0,1,0.0,2.44060849
0x03caf55414a2991a8c9320c9d858f133482323dd,2024-01-12 20:12:47,0,1,0.0,0.2422555
0x042d105b1de66977cccf4f10d6b4ef09fc76b642,2024-01-12 21:24:23,0,1,0.0,3.998
0x0436d1d516504c58d1f473fa7a1559b9f7b753e7,2024-01-12 13:47:35,0,1,0.0,0.3453523
0x045467a6154f5a898ad1f861ba0c2370200c8188,2024-01-12 12:39:23,0,1,0.0,6.78235
0x048ffbdd5c89cb07b3887f8fc1b56de4fdc2af41,2024-01-12 12:59:47,0,1,0.0,0.0771208
0x04a2f9f50cbb87a1f31694f0d3a8ff9ffff0f8d1,2024-01-12 12:13:47,0,1,0.0,4.418
0x04a2fe004f0ed0be6d51aa30b1de412f8d6bf8d1,2024-01-12 12:14:59,1,0,4.418e-06,0.0
0x04e1aec5fa92d2c8fc5f4f584bc9e9471f45ec93,2024-01-12 06:26:59,0,1,0.0,0.03085814
0x0504e7edd05ea2b83984ac68d5b098e2ecd21a04,2024-01-12 08:39:23,0,1,0.0,0.0186793
0x0530f33cef3b60ccd8f90ac4a63e268a521ce679,2024-01-12 10:31:47,0,1,0.0,5.098
0x05f3c3840160ed96722d2ae790ccf369d357363e,2024-01-12 19:31:11,0,1,0.0,0.03604699
0x05f9ab750471e1663b284c3fcbff9b99046b702a,2024-01-12 11:15:23,0,1,0.0,0.0224
0x0616c2293c911f354902a85b49ae55f62b080d4f,2024-01-12 16:16:47,0,1,0.0,2.118
0x065dbf25eed046ca437b4913c7726d34fa60c7db,2024-01-12 17:34:35,0,1,0.0,0.2156821
0x071c917635bb720563c8dbd2571b6834492a6fb7,2024-01-12 15:20:23,0,1,0.0,0.0082897
0x0746b79958e401840c139d31f8e9639cb6c956e7,2024-01-12 03:09:59,1,0,1.010100618539,0.0
0x07964b7f5f1db47c9339ebc9ed33c7d90a4825ce,2024-01-12 17:15:47,0,1,0.0,1.1281174
0x079d2edbdf99fabb244369bd0b75b7518e9782a0,2024-01-12 09:03:23,0,1,0.0,0.0307672
0x07b277fae39de1261140d9d50b9895400e698564,2024-01-12 11:42:47,0,1,0.0,0.0224
0x080a61322706892c45fab93ba19367446f3579c4,2024-01-12 22:33:47,0,1,0.0,0.728
0x0823785b0a599cdfbdd91eae5247a5a5ccb26b20,2024-01-12 05:32:23,0,1,0.0,1.4896914
0x08280dc6966758b3cc30cad7f43d6308aa7025e1,2024-01-12 23:30:23,1,0,1.113188659145,0.0
0x086712ad54cc461a51c80dacfba399475f8121af,2024-01-12 09:35:23,0,1,0.0,0.66625
0x0895033f5a33f522692ec219b275404f6e75c0af,2024-01-12 06:46:23,0,1,0.0,1.6466497
0x0899b4658d723e1bac53f070146c5193fd148ee6,2024-01-12 20:24:35,0,2,0.0,3.1213524
0x08d561bff91aeee264e45cfb677171665b74c93c,2024-01-12 09:51:11,1,0,3.889263501035,0.0
0x08eb34d292275ba25fc2001bf2c8108d97b46231,2024-01-12 15:56:23,0,2,0.0,3.59242647
0x08ed75012373395cf6d6c26812935e244c5bdd2b,2024-01-12 12:41:11,0,1,0.0,0.5753221
0x099f973a4a8d94ff30665c91bd604e275f53028f,2024-01-12 06:54:35,0,1,0.0,3.32860758
0x09a07a1c5eabc5779d846f11dad10bef4cb2dd1b,2024-01-12 12:39:23,0,1,0.0,6.99402
0x09cac83937b5b5b25d1b511d919e7cf9b1fa8fc8,2024-01-12 12:47:11,0,1,0.0,0.0180739
0x0a176900ba4a4229e6e83267f67a8e915abfd1f8,2024-01-12 23:01:23,0,1,0.0,0.01
0x0ae1ff3e843ec7b692f62e599fad3fa147dd321c,2024-01-12 23:20:11,0,1,0.0,0.09032885
0x0b2fb4727104a1031ade7945c21d41d3e42454ee,2024-01-12 12:33:23,0,1,0.0,7.5503
0x0bfafd86c7641be97b4c7e1cac727d9dc1b65ba8,2024-01-12 19:36:23,1,0,1.437752015789,0.0
0x0c13815dabf50b078f3f53c9fd668ce7dc8b2b7f,2024-01-12 13:36:23,0,1,0.0,0.060995
0x0c1a26504af18a1188222999b0def93b286b674e,2024-01-12 22:44:11,0,1,0.0,0.198
0x0c5d9adc116b33dff0d6e6097e88af740f0a7287,2024-01-12 09:21:23,1,0,1.968711790545,0.0
0x0caec558c156597bcae650201f787871aea1eaba,2024-01-12 03:57:11,0,1,0.0,0.29808664
0x0cf0cccd6abe825ffc8688a6fa73593aa81f62eb,2024-01-12 10:27:11,1,0,2.02310421429,0.0
0x0d72edcc9c920b047c20084180e770931b62b2fb,2024-01-12 17:56:47,0,1,0.0,0.7465
0x0def4adbef50c0f34182876cb0d6809b1cc46b92,2024-01-12 19:42:59,0,1,0.0,0.1336
0x0df66ecbe7c890494c41cfc3e75d917209d14b27,2024-01-12 10:31:47,0,1,0.0,0.02325564
0x0e0ff02b24832c880b513b6ceeafac92e9ad7fd8,2024-01-12 08:06:23,1,0,1.4737108493009998,0.0
0x0e4af468d94f43e5fc96496ff731081105ef1ab3,2024-01-12 11:17:47,0,1,0.0,0.0224
0x0e4dec31759e7095eac950bfe44889cc88a16fa2,2024-01-12 14:57:23,0,1,0.0,0.8495476
0x0eb725eed33622015277b3d643e778d84a1d5f57,2024-01-12 07:29:59,0,1,0.0,0.1686
0x0f7d82d8e8888b15a05e559fff90d4271d914968,2024-01-12 16:56:59,0,1,0.0,4.17103346
0x0f989af8111ddad7d64a1a33f8c6ff2cb199c5c8,2024-01-12 14:35:47,0,1,0.0,0.0421558
0x0fd879d2d91d16eef0d91f51872e238add3c92ac,2024-01-12 10:21:11,0,1,0.0,0.3023
0x1028f802ea34b52f581950f3c9192e5e3bd171cd,2024-01-12 16:40:11,0,2,0.0,0.0156
0x104f45872f6c16865758b63965115a7aa53c9914,2024-01-12 14:16:47,0,1,0.0,0.253
0x106b3cc94bd07579fcf8e12729e0a6635599a2f5,2024-01-12 13:54:23,1,0,1.676768503875,0.0
0x10e00789f42849f43ace8a6be69d8017615320a9,2024-01-12 11:16:47,0,1,0.0,0.0224
0x11a24167ad88fe9e80b108e63471c24c1e2494cf,2024-01-12 16:56:35,0,1,0.0,0.009988
0x11acba2a9797c3272e5fa7a77b2e674251832ce1,2024-01-12 18:13:47,0,1,0.0,0.0080899
0x11baf284e318ddcc5a524ed4e8eb970dc757f319,2024-01-12 09:40:35,0,1,0.0,1.22383139
0x11d68ca77ea99d725becadc029b18258c1c6576f,2024-01-12 17:50:59,0,1,0.0,1.2458
0x1222a3f0ccb789c7d9ef6abaf87f3ae04b9302d6,2024-01-12 17:26:59,0,1,0.0,0.0185
0x12e72d1cf35a146fca65aed25ed1b991e1dc39c5,2024-01-12 12:03:23,1,0,7.214733702348,0.0
0x130d77ab1eb2b733b5ce7495bc8a426289d33b6b,2024-01-12 12:33:23,0,1,0.0,7.0226
0x131fe86d890c392499dce4ae051dbca56d738c78,2024-01-12 11:50:47,0,1,0.0,0.118
0x13208342e607c5e6cb31b0e8d93c98cffd3281a0,2024-01-12 17:15:47,0,1,0.0,0.01675454
0x132e5b46bf8ea8dce42832c058708cf1ff52d6fe,2024-01-12 19:45:23,0,1,0.0,0.8198606
0x1335192010abb0d47d3372289c443299030d157b,2024-01-12 05:50:11,0,1,0.0,0.112885
0x134e5177aefdd1aeddbf39a5d3aedf156409ff07,2024-01-12 23:18:11,1,0,1.985386038955,0.0
0x138d2eaa9014e8f675b3a4b17e3cea3c0ebf17e0,2024-01-12 03:47:59,0,1,0.0,0.075
0x13d10e9d39b96a4a93c18be8120a5876ae127eb8,2024-01-12 14:25:47,0,1,0.0,0.4961
0x1421be7337b09c95c7c7ffe643699cf7ab9ed97d,2024-01-12 12:09:35,0,1,0.0,0.0567412
0x145ce6c74307c502be8ba521a7fe98e92b2724ea,2024-01-12 04:32:23,0,1,0.0,0.2574403
0x1461820ceb845262f8dc990b664e84d14dba14fe,2024-01-12 13:04:59,0,1,0.0,0.02218632
0x14bd8198fd1b09d722503217daf16e86f90dcda8,2024-01-12 13:06:47,0,1,0.0,0.00887262
0x14d691d78c199509eaa1e46d3a139d6eb1d76c8d,2024-01-12 08:54:23,0,1,0.0,0.0094919
0x150d2f1a1d263f521b96a93b50a407fbd93bb94d,2024-01-12 17:02:47,0,1,0.0,2.71313241
0x15a1d7f91b2ff5f4aca5c30c18b4af20e9def2df,2024-01-12 12:16:23,0,1,0.0,0.0224
0x15fdf2aaeaab805b383cd9f7e9eec09fd8132a5a,2024-01-12 10:12:11,0,1,0.0,0.0078
0x161aba56684d867f9cc9b1f72a6364b087abbfc2,2024-01-12 22:39:59,0,1,0.0,0.098
0x16d151af31b03adb3f709921ce94d22704c7d59f,2024-01-12 11:50:47,0,1,0.0,0.048
0x16d1b51196e059f06436bea0c29ef4f649559804,2024-01-12 10:31:23,0,1,0.0,0.215
0x16e8c05357a5ff6367fb8f09f42e0629fec2b866,2024-01-12 19:26:11,0,1,0.0,0.1352626
0x179c85323a50cd412a25fb3543ffa3aad3439395,2024-01-12 12:09:35,0,1,0.0,0.0197782
0x17a09d21efe897207764462b5762218c3cb32798,2024-01-12 02:45:23,0,1,0.0,0.9868102
0x17de47d6ca2a4165570976a10ef5c7659b69b62b,2024-01-12 05:18:23,0,1,0.0,0.02672526
0x181cf111ca7887f1691f6178588574fb4b904a50,2024-01-12 07:36:23,1,0,1.010460108723,0.0
0x182ead29bf045d2c5d3ea6a5f7f4aab2c984a9c1,2024-01-12 17:50:59,0,1,0.0,0.4764672
0x1833a2c7e72ec01d9d32545acc2187f4dcbec4fd,2024-01-12 23:01:23,0,1,0.0,0.05103802
0x184f3fa46a9ae0d973c49c2c57cf46d87acaa538,2024-01-12 09:19:35,0,1,0.0,0.0844135
0x185df8511167e6cd5e573174d03df7a03e5a1a73,2024-01-12 12:01:35,0,1,0.0,0.0224
0x185fa6a82eaa701dbe949b5ce6db1d3004b4e55c,2024-01-12 02:41:47,0,1,0.0,0.0078
0x18a9e42070bb0a38d37a585772f0eb0552081ef6,2024-01-12 12:33:23,0,1,0.0,7.61483
0x18cee3b05133f786dcd2e216c46d7bb04e6e9fb4,2024-01-12 10:45:11,0,1,0.0,1.118
0x18ef05e41599f09b529b35c4e24fbca79c08940b,2024-01-12 08:49:11,0,1,0.0,0.0096883
0x18fb34ef355426440093a2bdf1b1d508a5b85297,2024-01-12 11:46:11,0,1,0.0,0.0224
0x192513387b1bc31597ebf9f858e19bcb410ead6b,2024-01-12 10:51:11,0,1,0.0,0.0359
0x19ae94518d56ae5f80f04ca2f1bff3e8d4958411,2024-01-12 02:08:47,0,1,0.0,0.0170809
0x19e7e17f558263559d5c343df815655159b6c86d,2024-01-12 11:30:11,0,1,0.0,0.0135
0x1a708f64a1bc537ffe636d0721f1371b01cc59be,2024-01-12 20:09:11,0,1,0.0,0.0203776
0x1aa367054f88b8a43ec1a80f6db9e29e982e24f5,2024-01-12 14:50:11,0,1,0.0,0.1434216
0x1ac6cf013bbcb8396a8c9e2ea1ede24c3437e06a,2024-01-12 15:39:47,0,1,0.0,1.3225454
0x1adce00e821b2b4f61376861d809f181d4c362fd,2024-01-12 16:03:59,0,1,0.0,2.9584363
0x1ae12065fd13aa745f84901180312c2198c48bc5,2024-01-12 10:14:11,0,1,0.0,0.0171
0x1b36a734c54d0040042858ecc94652050c172a59,2024-01-12 15:00:47,0,1,0.0,0.2313664
0x1b682be9c98dc88aeccb9c6ac397a38de8944645,2024-01-12 18:31:47,0,1,0.0,0.0102601
0x1badc1b76598fda3ace11c989e9d9aa7db3c5095,2024-01-12 15:27:11,1,0,2.497276254232,0.0
0x1c0338f322aab0d8848683ce4215a6cc7e03684c,2024-01-12 10:17:47,0,1,0.0,1.93064344
0x1c127339cb2f4e33dc076f864c5cbcf4f460c286,2024-01-12 12:49:11,0,1,0.0,0.085
0x1c6ff4895aa4af0c2d1c636a1c35855ddd647168,2024-01-12 10:21:35,0,1,0.0,1.28584846
0x1c7b14ab211e166711fafb048b3b711b6de48582,2024-01-12 03:00:35,0,1,0.0,0.008
0x1d67f3d2042a8d2b6e16e54dd60b555c7685e68b,2024-01-12 07:01:11,0,1,0.0,0.2678299
0x1da28908eeb92cc66ce876d723cc9418f5c224a7,2024-01-12 12:45:47,0,1,0.0,7.25021043
0x1da85a6013d2d48a2ad6e9c4b990dec1e4192063,2024-01-12 17:18:59,0,1,0.0,0.21572954
0x1e3942633762cb055f671b792104d7427928f788,2024-01-12 17:38:11,0,2,0.0,0.042953
0x1ebecc28f21556b9e9b30edda630814d4816ef6e,2024-01-12 09:06:47,0,1,0.0,0.0512166
0x1ee17fa48444522e7c7d1aeff1027032bd258b1d,2024-01-12 15:33:23,0,1,0.0,0.0700279
0x1f1a9fe1a2e6f69fd896b7a8c43e0ec5427173d5,2024-01-12 12:27:23,1,0,7.480988841845,0.0
0x1f25f8fe4d38bb11f635e97a4a504696f5ccbff5,2024-01-12 14:47:35,0,1,0.0,20.80069117
0x1f437b445aee80188b8f07d96b3b978e952def68,2024-01-12 10:28:11,0,1,0.0,0.215
0x1f89528e0c9db0e2cdc15e96375cb9abdce46dcc,2024-01-12 12:33:23,1,0,0.994257252492,0.0
0x1fb61204c1829dba6c734c798efe6efc6fa697cd,2024-01-12 04:38:59,0,1,0.0,0.0361618
0x20d395970177565b200bb9b4010bcfeb98af8b1e,2024-01-12 05:35:23,0,1,0.0,0.0501
0x2183379ea9f5d8b80f9246f985a9161688e53473,2024-01-12 23:01:23,0,1,0.0,0.0815164
0x21bf4f264b427fa9d79dc5eeef08972d5e224919,2024-01-12 15:30:35,0,1,0.0,0.0363616
0x21d03f0d064e7eb3df4f43dca3a07254841b40ac,2024-01-12 23:29:23,0,2,0.0,0.0423
0x221daab5829d7458dabd02878ca9420064377078,2024-01-12 10:21:23,1,0,2.4773789435570004,0.0
0x2251ea2640ac8a5ed5b666718dd956a1b5f72653,2024-01-12 04:48:23,1,0,1.552197752677,0.0
0x226f12400b575f567ee44c103f506a7ae0d01d09,2024-01-12 06:52:35,0,1,0.0,4.505
0x2290c85bb3ff290331c988c983820a147010fc80,2024-01-12 10:25:47,0,1,0.0,0.45689773
0x229a933de3d977048e07afc630590a91ab88c47b,2024-01-12 03:43:59,0,1,0.0,0.4167412
0x22a8d2df31157675c9329dc3ff3f59bc7ff8aed8,2024-01-12 11:12:11,0,1,0.0,4.898
0x2304041f1bb5eb83c314f81fad9d150a63b3dc78,2024-01-12 08:33:47,0,1,0.0,0.118
0x2356b1b3dac2ac8d54e4181d7dd806d352c129bb,2024-01-12 19:37:23,0,1,0.0,2.0414112
0x23572b691ae68f4e0473d78122a408f47261b94d,2024-01-12 19:19:47,0,1,0.0,1.898
0x238468ef5af2396f01ea9670fa9740ea8f07e304,2024-01-12 22:09:11,1,0,1.955962125427,0.0
0x23f0c48ae9bfee794d85018c611b3819a9ca6dcd,2024-01-12 18:12:11,0,1,0.0,0.2199778
0x24094c8ccda7a5aa33aac6bd2ebb6a875d5afb20,2024-01-12 02:42:23,1,0,1.077173991935,0.0
0x24216f13c3e5cca5d252106af5e85374279b48ba,2024-01-12 09:09:23,0,1,0.0,3.5176768
0x249e50aafe49ea510341ac49ccf15b142ce7e1d9,2024-01-12 15:49:11,0,2,0.0,0.06583293
0x24f659a26f2cbf25cbb06eda1a3fd23190d5a195,2024-01-12 19:11:47,0,1,0.0,0.0395584
0x24ffbae854189c289da698d7ca6d566c735df9e1,2024-01-12 20:09:11,0,1,0.0,0.1108
0x256223519535e8511b5866f53dda073c12b7f621,2024-01-12 18:50:23,0,1,0.0,0.0092834
0x2570896f192c3d1094d46cb18ac43ac6bc0f6a07,2024-01-12 06:03:23,0,1,0.0,0.05417302
0x25e085bbe1a0cba8bdf780c6a5ae8f6af13410e1,2024-01-12 16:03:11,0,2,0.0,0.308
0x25e66380efe5d59c0b39134ac9398b3f2749a55d,2024-01-12 16:58:23,0,1,0.0,0.0870109
0x263ee5c9b330e24f3089bcd83ae2ebfc65e45689,2024-01-12 15:18:23,1,0,4.757750497962,0.0
0x26d338151193267498b113d9bd77c29b3836ee01,2024-01-12 07:14:23,0,1,0.0,0.0171808
0x27928e398f9899ccbdad3902131e60fbd60cabe1,2024-01-12 16:40:11,0,2,0.0,0.0513446
0x27c7deac6828a78ae66449117fd83c607614af69,2024-01-12 11:04:47,0,1,0.0,1.228
0x27d9fae4e12e6d66cbc8584c9f545e7319769829,2024-01-12 05:57:35,0,1,0.0,1.76803811
0x285fab5ad98dde9648268b056ab43cd55d2b1296,2024-01-12 12:33:35,0,1,0.0,7.6943
0x288b3b83e99a746d8a5c3433a898dc7641bb7037,2024-01-12 05:19:23,0,1,0.0,0.0113866
0x28d672acfb06c4dc05c296b52b0fd8d3fed7aae5,2024-01-12 12:40:47,0,1,0.0,7.81732
0x2929b799cdbf6701d937212a970034b93d2c82d5,2024-01-12 10:10:35,0,1,0.0,0.02988546
0x293bf0ef73d34e18984c2cbdedc3ab431c52e31a,2024-01-12 05:01:59,0,1,0.0,0.0353626
0x29a9b13c85a767a0a414cdd7448df24c9874a9a2,2024-01-12 12:33:23,0,1,0.0,0.6126847
0x29bce33625697033c7bd4ff528804c839e4fc6d1,2024-01-12 14:54:11,0,1,0.0,0.0224
0x29c0243c8369f866b22225415a0113bf9ed06e08,2024-01-12 20:44:23,0,1,0.0,5.9982937
0x2a6eeec48fa07c70c37c48208b0e1b3603e4766c,2024-01-12 08:36:23,0,1,0.0,0.67611617
0x2b2c5f2f10ca81fde0adc4675173d8edf6b485fe,2024-01-12 15:59:23,0,1,0.0,0.218
0x2b69451c634926ef69c1af17aaf438848aea9cb3,2024-01-12 11:50:11,0,1,0.0,0.0224
0x2b7ead360ca234f68004308ba2a02b542c05c484,2024-01-12 16:08:11,0,1,0.0,0.11790234
0x2ba8d7a7d1195c7b0e7e51968f3280abd969a1fd,2024-01-12 17:42:23,0,1,0.0,0.0637342
0x2bb4101c8a7d979bf61616263169c390224609aa,2024-01-12 11:39:59,0,1,0.0,0.0224
0x2bb7118b9704be4a69e78499107bd169f048150a,2024-01-12 13:08:11,0,1,0.0,0.07592178
0x2c3c561e42cde799748eca1b0b6c8eb21e063ba7,2024-01-12 06:46:59,0,1,0.0,0.1964014
0x2c7bc174c2a3b303c25cb115ab0e0781a3d4b6b0,2024-01-12 12:27:23,1,0,7.261159617439,0.0
0x2c9d21709e463f4a7d39717d400806b00ac2683c,2024-01-12 03:26:23,0,1,0.0,0.1244734
0x2cd4a8b43be6122db9fc8ba2494fd2255f92b392,2024-01-12 23:12:23,1,0,2.488275375327,0.0
0x2d0a3dc19d46d683bd73995475987327241a59b0,2024-01-12 08:14:11,0,1,0.0,0.3827149
0x2d2741f5a21723bfea931be4f8de12db6b301588,2024-01-12 23:36:59,0,1,0.0,0.0152827
0x2d5671ea7155e214265ae2113522bdfa74d2e5bc,2024-01-12 20:39:11,1,0,1.259457185971,0.0
0x2da9e07e94d67c31e67132c37a9db021a60f7896,2024-01-12 15:27:11,0,1,0.0,0.1534444
0x2e1b184870a6c0e6406fd8ee353ba87847bab2ba,2024-01-12 21:45:11,0,1,0.0,0.0137643
0x2e27f23991f494fcf7ce7b2116e21b8d4cb3795c,2024-01-12 11:17:11,0,1,0.0,0.0224
0x2f47a5e5f40a02f97c48ce2b9f9c449c2a623c58,2024-01-12 17:42:23,0,1,0.0,0.0093886
0x2f88f7aa2e576a9cb79390a8be6ad0d7339bbd0e,2024-01-12 14:34:35,0,2,0.0,0.1183999999999999
0x2faccbea7e0170f1655ab14f721582adffed9f86,2024-01-12 10:40:47,0,1,0.0,6.14841402
0x2fedb4afea4207a8901e8029937fc2c706d758b7,2024-01-12 21:45:11,0,1,0.0,0.18774646
0x2fee42aced2c578adbb7fc946acaf4ee81ebb78d,2024-01-12 15:16:23,0,1,0.0,0.1740238
0x30004a224d3676276c96a2410212233cbec82b9c,2024-01-12 11:57:11,1,0,7.874380045878,0.0
0x3087ce4a627fb2c81552fdab3f70f1afffd3b894,2024-01-12 16:26:47,0,1,0.0,0.0353626
0x30a62644e64c7f51835f15567626289b579e1c12,2024-01-12 02:56:47,0,1,0.0,0.0505474
0x30b949fddf29ec522a04e76fc582795b5c63de32,2024-01-12 12:24:23,1,0,7.744671038572999,0.0
0x30e18e08d5a75c324078e880074c1fc604d95cab,2024-01-12 17:25:59,0,1,0.0,0.186811
0x30e79ffbf7cea7a14ed0ff8e1009dace3d847f29,2024-01-12 02:13:23,0,1,0.0,0.0455524
0x30f6814b37986a05d1c4d1c7c9c945489c6fd584,2024-01-12 11:03:23,1,0,1.117590439919,0.0
0x30ff031971e3a115db694a188f8db4ea907f73ff,2024-01-12 12:12:23,1,0,7.086295351447,0.0
0x3148cfd737336cdf6491f5ab98fccfba0a44d19c,2024-01-12 12:39:23,0,1,0.0,7.04332
0x31735a8cd4511a968349ca14345f41bea9d5854f,2024-01-12 09:28:11,0,1,0.0,0.0247732
0x3187018a3b7e947c4436debb6b329046d93b6d2a,2024-01-12 05:53:59,0,1,0.0,0.3814162
0x31f151d93e899a0c597e7ed004c5071163042980,2024-01-12 17:18:59,0,1,0.0,0.1139839
0x31fc857d467aeec23d31ef7c89b0054eec49f711,2024-01-12 22:48:11,0,1,0.0,0.05
0x3200c41ce4427c7b050392d3a3d101229919539a,2024-01-12 17:00:47,0,1,0.0,0.229391
0x327669e4d847168ee3b616f64ab83698036c4eae,2024-01-12 04:35:11,0,1,0.0,0.25374898
0x329035d0d4b0e173c333e768d178f1364fa4d41a,2024-01-12 13:09:35,0,1,0.0,0.0078
0x32ad7ba9c18d8d2bf2c17e926d65a764cc8b366f,2024-01-12 10:23:11,0,1,0.0,1.57242355
0x338369a5974bc1426f18e86027e8be0952a0ed66,2024-01-12 11:44:47,0,1,0.0,0.0224
0x33b87d97c0b20af9310d6ef56202aeec0d9a3780,2024-01-12 20:36:59,0,1,0.0,0.019
0x342778332b78a148f2b66605cab9424cc6f3d67e,2024-01-12 12:34:11,0,1,0.0,7.83433
0x345b3d8257491b4b0ab8a4962d52add364fc4413,2024-01-12 15:17:47,0,2,0.0,0.1175776
0x347df20a8f88541bac37dd3f7e3b5313a42c1441,2024-01-12 23:57:35,0,1,0.0,0.1936
0x3523a7c74bbb924e315d96ed2818bed2939a47e2,2024-01-12 05:46:59,0,1,0.0,0.0160819
0x354a8a48e783d27dbc8af58da7e4e55e4bf61bc1,2024-01-12 07:23:35,0,1,0.0,0.1469985
0x354eca587d174154965c6b81b66278a81074e11e,2024-01-12 12:40:47,0,1,0.0,0.0095884
0x3565f6f4480663e0a8bbd189756c03a6d5f9c3aa,2024-01-12 12:27:23,1,0,7.524032043457001,0.0
0x356bd00005e6274712d896c4b6216274e9325149,2024-01-12 07:15:23,2,0,4.121553913615999,0.0
0x358669941d804cdf9ba8702f38f6b943954bd0e8,2024-01-12 13:04:59,0,1,0.0,0.008
0x368dd1611ace1d5a1d3e95f3edde8be622530746,2024-01-12 17:27:11,1,0,1.281874884496,0.0
0x369c3010e4a44fff92a45ecdcaac8a65b69e6da6,2024-01-12 11:23:59,0,1,0.0,1.238
